 * Serving Flask app 'app' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:5057/ (Press CTRL+C to quit)
127.0.0.1 - - [08/Jul/2026 10:19:17] "GET /static/css/cal_pages.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2026 10:19:17] "GET /static/js/optimized-common.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2026 10:19:17] "GET /static/images/yundar/y005.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2026 10:19:17] "GET /static/images/yundar/y002.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2026 10:19:17] "GET /static/images/yundar/y011.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2026 10:19:17] "GET /static/images/yundar/y008.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2026 10:19:17] "GET /static/images/yundar/y012.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2026 10:19:17] "GET /static/images/yundar/y010.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2026 10:19:17] "GET /static/images/yundar/y023.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2026 10:19:17] "GET /static/images/yundar/y015.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2026 10:19:17] "GET /static/images/yundar/y014.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2026 10:19:17] "GET /static/images/yundar/y025.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2026 10:19:17] "GET /static/images/yundar/y013.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2026 10:19:17] "GET /static/images/yundar/y027.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2026 10:19:17] "GET /static/images/yundar/y029.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2026 10:19:17] "GET /static/images/yundar/y030.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2026 10:19:17] "GET /static/images/yundar/y031.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2026 10:19:17] "GET /static/images/yundar/y034.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2026 10:19:17] "GET /static/images/yundar/y033.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2026 10:19:17] "GET /static/images/yundar/y039.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2026 10:19:17] "GET /static/images/yundar/y037.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2026 10:19:17] "GET /static/images/yundar/y040.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2026 10:19:18] "GET /static/images/yundar/y041.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2026 10:19:18] "GET /static/images/yundar/y047.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2026 10:19:18] "GET /static/images/yundar/y061.jpg HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2026 10:19:18] "GET /static/images/yundar/y051.jpg HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2026 10:19:18] "GET /static/images/yundar/y055.jpg HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2026 10:19:18] "GET /static/images/yundar/y053.jpg HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2026 10:19:18] "GET /static/images/yundar/y063.jpg HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2026 10:19:18] "GET /static/images/yundar/y066.jpg HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2026 10:19:18] "GET /static/images/yundar/y069.jpg HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2026 10:19:18] "GET /static/images/yundar/y075.jpg HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2026 10:19:18] "GET /static/images/yundar/y084.jpg HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2026 10:19:18] "GET /static/images/yundar/y092.jpg HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2026 10:19:18] "GET /static/images/yundar/y101.jpg HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2026 10:19:18] "GET /static/images/yundar/y043.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2026 10:19:18] "GET /static/images/yundar/y105.jpg HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2026 10:19:18] "GET /static/images/yundar/y107.jpg HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2026 10:19:18] "GET /static/images/yundar/y096.jpg HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2026 10:19:18] "GET /static/images/yundar/y079.jpg HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2026 10:19:18] "GET /static/images/yundar/y100.jpg HTTP/1.1" 200 -
